date_of_call,incidents
2017-01-01,279
2017-01-02,223
2017-01-03,268
2017-01-04,266
2017-01-05,281
2017-01-06,265
2017-01-07,307
2017-01-08,277
2017-01-09,243
2017-01-10,224
2017-01-11,221
2017-01-12,248
2017-01-13,245
2017-01-14,259
2017-01-15,239
2017-01-16,249
2017-01-17,283
2017-01-18,294
2017-01-19,256
2017-01-20,288
2017-01-21,307
2017-01-22,335
2017-01-23,307
2017-01-24,260
2017-01-25,265
2017-01-26,275
2017-01-27,290
2017-01-28,260
2017-01-29,241
2017-01-30,240
2017-01-31,235
2017-02-01,265
2017-02-02,244
2017-02-03,239
2017-02-04,248
2017-02-05,243
2017-02-06,232
2017-02-07,253
2017-02-08,244
2017-02-09,251
2017-02-10,261
2017-02-11,301
2017-02-12,233
2017-02-13,278
2017-02-14,256
2017-02-15,235
2017-02-16,276
2017-02-17,279
2017-02-18,280
2017-02-19,255
2017-02-20,216
2017-02-21,225
2017-02-22,195
2017-02-23,525
2017-02-24,290
2017-02-25,276
2017-02-26,261
2017-02-27,247
2017-02-28,220
2017-03-01,221
2017-03-02,251
2017-03-03,248
2017-03-04,268
2017-03-05,247
2017-03-06,235
2017-03-07,242
2017-03-08,241
2017-03-09,235
2017-03-10,239
2017-03-11,288
2017-03-12,267
2017-03-13,254
2017-03-14,262
2017-03-15,242
2017-03-16,259
2017-03-17,257
2017-03-18,259
2017-03-19,253
2017-03-20,230
2017-03-21,236
2017-03-22,231
2017-03-23,258
2017-03-24,254
2017-03-25,303
2017-03-26,249
2017-03-27,264
2017-03-28,287
2017-03-29,267
2017-03-30,294
2017-03-31,306
2017-04-01,307
2017-04-02,268
2017-04-03,281
2017-04-04,291
2017-04-05,283
2017-04-06,281
2017-04-07,329
2017-04-08,310
2017-04-09,346
2017-04-10,317
2017-04-11,314
2017-04-12,283
2017-04-13,293
2017-04-14,276
2017-04-15,315
2017-04-16,255
2017-04-17,247
2017-04-18,293
2017-04-19,314
2017-04-20,313
2017-04-21,278
2017-04-22,272
2017-04-23,295
2017-04-24,250
2017-04-25,298
2017-04-26,295
2017-04-27,280
2017-04-28,273
2017-04-29,294
2017-04-30,291
